ID,TRACT,GEOID,label,nhousingUn,nMobileHom,yearBuilt,nBadPlumbi,nBadKitche,nRooms,nBedrooms,medHHinc,Population,MedianAge,PopInHouse,nHousehold,Families
4521,228310,6037228310,"Census Tract 2283.10, Los Angeles County, California",1097,0,1956,43,16,2.7,1.22516,22490,4774,23.3,4771,1012,904
4522,228320,6037228320,"Census Tract 2283.20, Los Angeles County, California",773,0,1960,29,31,3.2,1.670116,25591,3112,23,3072,687,549
4523,228410,6037228410,"Census Tract 2284.10, Los Angeles County, California",1122,8,1959,50,74,2.8,1.235294,25429,5280,22.9,5280,1068,932
4524,228420,6037228420,"Census Tract 2284.20, Los Angeles County, California",725,0,1946,35,22,2.6,1.32,20758,2830,22.5,2830,637,530
4525,2285,6037228500,"Census Tract 2285, Los Angeles County, California",1095,0,1947,57,53,3.2,1.50137,24167,4506,23.5,4506,978,800
4526,2286,6037228600,"Census Tract 2286, Los Angeles County, California",1131,0,1959,17,67,2.8,1.445623,21525,4667,23.4,4667,1030,861
4527,228710,6037228710,"Census Tract 2287.10, Los Angeles County, California",1003,0,1963,21,18,2.8,1.45663,20451,4031,23.4,4031,892,747
4528,228720,6037228720,"Census Tract 2287.20, Los Angeles County, California",968,0,1960,37,14,3.1,1.413223,25785,4157,23.5,4155,882,766
4529,2288,6037228800,"Census Tract 2288, Los Angeles County, California",1223,0,1952,45,16,3.4,1.604252,20743,5354,21.8,5290,1148,995
4530,2289,6037228900,"Census Tract 2289, Los Angeles County, California",761,0,1953,69,58,2.8,1.268068,20590,3068,21.6,3068,706,608
4531,2291,6037229100,"Census Tract 2291, Los Angeles County, California",919,0,1957,37,35,3.4,1.738847,27315,4094,23.3,4094,839,706
4532,2292,6037229200,"Census Tract 2292, Los Angeles County, California",1159,0,1955,26,18,2.8,1.328732,18227,4313,24.4,4307,1078,796
4533,2293,6037229300,"Census Tract 2293, Los Angeles County, California",1312,0,1950,71,63,3,1.373476,21918,4961,24.3,4926,1172,940
4534,229410,6037229410,"Census Tract 2294.10, Los Angeles County, California",837,0,1949,9,14,3.3,1.489845,25719,3274,23.6,3274,768,640
4535,229420,6037229420,"Census Tract 2294.20, Los Angeles County, California",1071,6,1955,15,25,3.1,1.514472,23750,4450,23.5,4450,970,802
4536,2311,6037231100,"Census Tract 2311, Los Angeles County, California",418,0,1948,0,0,2,0.741627,15859,1383,25.6,1307,386,271
4537,231210,6037231210,"Census Tract 2312.10, Los Angeles County, California",1110,10,1947,0,17,3.3,1.416216,25690,3523,25.8,3520,998,744
4538,231220,6037231220,"Census Tract 2312.20, Los Angeles County, California",1062,0,1959,28,36,3.1,1.30791,20234,3518,24.5,3518,989,751
4539,2313,6037231300,"Census Tract 2313, Los Angeles County, California",1477,0,1950,16,28,3.3,1.624915,23548,4561,27.3,4552,1331,971
4540,2314,6037231400,"Census Tract 2314, Los Angeles County, California",1463,0,1947,23,18,4,1.583049,31e3,4243,30.7,4048,1302,856
4541,2315,6037231500,"Census Tract 2315, Los Angeles County, California",1390,0,1943,13,56,5,2.151799,35566,4218,33.2,4205,1296,939
4542,2316,6037231600,"Census Tract 2316, Los Angeles County, California",2053,0,1948,21,33,3.4,1.559182,20308,6364,29,6263,1851,1287
